Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
Lufthansa,2,Live garden week best.,2024-01-25,No,Very bad food.,Boeing 737,Family Leisure,Premium Economy,SYD to SIN,2024-04-12,5,1,4,3,3,1,3,No
Lufthansa,1,Century task local.,2023-10-02,Yes,Great service!,Boeing 787,Couple Leisure,Premium Economy,LHR to DXB,2023-08-20,3,3,3,2,4,4,4,Yes
Etihad,1,Treat market like as top.,2023-06-02,Yes,Great service!,Airbus A380,Family Leisure,Business,NYC to LAX,2024-09-30,3,2,2,1,4,1,1,Yes
British Airways,3,Minute culture international theory could.,2025-04-29,Yes,Poor customer support.,Airbus A380,Couple Leisure,Premium Economy,LHR to DXB,2024-01-11,2,4,1,5,3,1,5,No
Air India,5,Enjoy because than realize statement.,2025-04-30,Yes,Great service!,Airbus A320,Solo Leisure,Economy,FRA to JFK,2024-09-16,4,1,5,2,4,1,1,Yes
Emirates,5,Student force you all local.,2023-06-16,No,Poor customer support.,Airbus A380,Family Leisure,First,SYD to SIN,2024-10-19,4,2,4,1,4,2,5,No
Emirates,2,Bank about leader common.,2024-09-23,Yes,Very bad food.,Boeing 777,Family Leisure,First,NYC to LAX,2025-05-17,2,5,4,4,1,3,2,Yes
Air India,3,Group trade whom head you.,2023-11-17,No,Fantastic flight!,Boeing 737,Couple Leisure,Economy,LHR to DXB,2024-05-21,4,5,4,1,4,5,2,No
Lufthansa,2,Program chance them clear.,2024-02-09,Yes,Great service!,Airbus A320,Business,Premium Economy,NYC to LAX,2025-05-11,1,5,1,2,1,4,2,No
Delta,5,Also country weight science air beat.,2025-04-12,Yes,Fantastic flight!,Boeing 787,Solo Leisure,First,DEL to BOM,2025-01-05,1,1,2,2,2,5,4,No
Air India,1,Yard both reach.,2023-11-09,Yes,Average experience.,Boeing 787,Solo Leisure,Business,SYD to SIN,2025-04-15,3,1,5,5,3,4,1,Yes
Lufthansa,5,Democratic spring resource meeting strong.,2025-02-16,Yes,Poor customer support.,Airbus A320,Family Leisure,Premium Economy,DEL to BOM,2024-09-19,4,3,5,1,1,1,5,Yes
Singapore Airlines,5,Pick difference remain.,2025-02-08,Yes,Very bad food.,Airbus A320,Business,Premium Economy,SYD to SIN,2024-09-23,3,5,5,4,4,4,4,Yes
Singapore Airlines,3,Middle each spring leg floor.,2024-01-17,No,Average experience.,Airbus A380,Family Leisure,Economy,NYC to LAX,2023-07-31,3,1,1,3,4,4,5,No
Emirates,5,Answer late boy keep peace.,2023-10-19,No,Fantastic flight!,Airbus A380,Family Leisure,Premium Economy,SYD to SIN,2025-03-12,4,5,1,5,5,1,3,No
Delta,1,Mother yard student leg health.,2024-09-03,Yes,Very bad food.,Boeing 777,Business,Business,NYC to LAX,2024-04-04,3,4,2,2,4,2,3,Yes
Qatar Airways,4,Meeting image sit surface guy.,2023-12-18,No,Average experience.,Boeing 787,Family Leisure,Premium Economy,DEL to BOM,2025-04-23,3,2,4,2,1,3,1,No
Emirates,5,Leader history accept improve his human.,2025-01-04,No,Average experience.,Boeing 777,Business,Premium Economy,SYD to SIN,2024-03-17,5,1,4,3,4,5,1,No
American Airlines,3,Entire certain candidate information according.,2024-01-07,No,Great service!,Boeing 737,Business,First,LHR to DXB,2024-10-18,3,3,1,2,1,1,5,Yes
Lufthansa,5,School technology create.,2024-11-17,Yes,Very bad food.,Airbus A380,Family Leisure,First,DEL to BOM,2025-03-24,1,3,4,5,3,2,2,Yes
Etihad,4,Form moment while enjoy subject decade.,2024-10-27,No,Poor customer support.,Boeing 777,Couple Leisure,Premium Economy,LHR to DXB,2024-08-26,4,1,4,1,5,5,1,Yes
Air India,5,Again quality such out.,2024-09-14,Yes,Fantastic flight!,Boeing 737,Family Leisure,First,NYC to LAX,2024-06-30,1,1,4,5,4,1,5,No
Etihad,5,Thus piece decade present.,2024-02-07,No,Great service!,Airbus A380,Couple Leisure,Business,NYC to LAX,2024-08-31,3,1,5,3,3,4,5,No
United,3,Nothing bit long.,2024-09-18,No,Great service!,Boeing 787,Couple Leisure,Economy,FRA to JFK,2023-09-01,1,5,1,1,3,1,3,Yes
Etihad,4,Data visit future make point.,2025-03-27,No,Great service!,Boeing 737,Solo Leisure,First,SYD to SIN,2024-03-14,1,2,2,5,3,4,2,Yes
Delta,2,Identify each chance run late.,2025-01-02,No,Very bad food.,Airbus A320,Solo Leisure,Economy,NYC to LAX,2025-03-13,2,3,5,1,4,3,3,No
American Airlines,4,Church quality maintain.,2024-06-25,No,Average experience.,Airbus A380,Family Leisure,First,SYD to SIN,2023-09-05,4,5,3,2,5,5,2,Yes
United,3,White especially represent look arm story.,2024-09-30,Yes,Great service!,Boeing 737,Business,Economy,NYC to LAX,2023-05-26,4,2,1,4,4,2,5,Yes
American Airlines,5,Case threat still clearly.,2023-11-25,Yes,Very bad food.,Airbus A380,Solo Leisure,Economy,NYC to LAX,2024-07-26,5,5,4,2,1,3,1,No
United,2,Property himself especially north throw community.,2024-01-24,Yes,Fantastic flight!,Boeing 737,Solo Leisure,Economy,SYD to SIN,2024-03-18,1,3,2,1,4,1,4,No
Etihad,4,Particularly out suggest choice.,2024-07-17,Yes,Average experience.,Boeing 737,Solo Leisure,Economy,NYC to LAX,2024-10-11,3,5,5,2,1,3,1,Yes
Air India,4,Wrong turn body happy.,2024-04-02,No,Poor customer support.,Boeing 737,Family Leisure,Business,DEL to BOM,2023-08-27,4,2,5,4,2,2,2,Yes
Singapore Airlines,2,Environmental task list admit develop.,2023-12-08,Yes,Fantastic flight!,Boeing 737,Couple Leisure,First,SYD to SIN,2025-02-09,4,3,5,1,2,3,4,No
British Airways,5,Crime fly door attack story around.,2023-11-08,Yes,Great service!,Boeing 787,Solo Leisure,Premium Economy,LHR to DXB,2025-04-09,5,2,2,5,4,2,3,Yes
Lufthansa,5,Record trade perhaps improve country.,2023-11-29,Yes,Great service!,Airbus A320,Couple Leisure,First,LHR to DXB,2023-07-21,3,1,3,4,2,3,1,No
Lufthansa,2,Nation else head.,2024-05-08,No,Great service!,Airbus A380,Business,Business,SYD to SIN,2023-12-07,3,5,5,1,1,2,5,No
Singapore Airlines,5,World car defense drive friend eye.,2024-08-05,Yes,Average experience.,Boeing 777,Business,Premium Economy,FRA to JFK,2025-02-02,5,5,5,4,2,2,3,Yes
Emirates,5,Chair sit wall environment customer.,2023-09-27,Yes,Poor customer support.,Boeing 777,Family Leisure,First,SYD to SIN,2024-01-15,3,3,3,5,2,2,4,No
Qatar Airways,5,Adult room factor left recognize.,2025-01-20,No,Poor customer support.,Airbus A320,Business,Premium Economy,FRA to JFK,2025-03-17,3,5,4,4,2,3,3,No
United,5,Audience bring society relate pull.,2024-07-12,Yes,Fantastic flight!,Airbus A320,Couple Leisure,First,LHR to DXB,2025-04-08,2,1,2,5,4,2,5,Yes
Qatar Airways,1,Talk table do follow.,2023-07-13,Yes,Poor customer support.,Boeing 737,Business,Business,FRA to JFK,2023-08-28,1,5,4,2,2,4,4,No
Delta,1,Behavior onto crime material.,2023-10-08,No,Poor customer support.,Boeing 737,Business,Economy,DEL to BOM,2024-04-05,2,1,4,4,5,5,3,No
British Airways,5,Language environment else professional step key.,2023-07-24,Yes,Very bad food.,Boeing 787,Solo Leisure,First,LHR to DXB,2023-06-10,1,4,3,1,5,5,1,No
Lufthansa,5,Upon develop government certainly.,2025-02-07,No,Very bad food.,Airbus A380,Business,Economy,SYD to SIN,2023-06-03,2,5,5,5,4,4,3,Yes
Emirates,2,Within ground I management.,2024-06-04,No,Fantastic flight!,Airbus A380,Couple Leisure,Premium Economy,FRA to JFK,2024-06-04,1,1,5,2,2,1,5,Yes
Etihad,1,Hair offer newspaper way pay individual.,2025-04-10,Yes,Average experience.,Boeing 787,Couple Leisure,Business,NYC to LAX,2025-03-03,1,1,5,2,2,4,5,No
Lufthansa,5,Yes threat war serious difficult after.,2025-01-22,Yes,Fantastic flight!,Airbus A320,Business,First,DEL to BOM,2024-01-27,3,4,5,3,1,3,5,No
Delta,2,Become type case all.,2025-02-24,No,Very bad food.,Airbus A380,Business,First,FRA to JFK,2025-01-05,1,1,4,4,2,2,2,Yes
British Airways,5,Town skill thought ground about.,2024-09-11,No,Average experience.,Boeing 787,Family Leisure,First,LHR to DXB,2024-01-02,2,2,3,4,5,5,1,Yes
American Airlines,1,Follow find join offer bag necessary.,2025-04-22,Yes,Very bad food.,Boeing 777,Couple Leisure,Business,DEL to BOM,2024-11-23,1,4,1,1,4,1,4,Yes
United,1,Free consumer guy.,2025-04-16,Yes,Average experience.,Airbus A380,Couple Leisure,Premium Economy,NYC to LAX,2024-08-23,5,2,1,3,3,3,5,Yes
